Species,Collector Number,Habit,Habitat,SIL,SIB,Culm Type,PL,PB,LSC,LSL,LSB,Ligule,LBL,LBB,Inflorescence Type,,IL,IB,IBL,IBB,SN,SL,SB,GN,ML,GL,GB,StN,SmN,AL,NL,NB,NC,NS,
Ficinia lucida,3141b, stoloniferous,mountain slope,19,2.06,basal ,86,0.57,tan,51,1.64,present,133,0.65,terminal,Absent,11,4,32,0.42,5,7.19,1.89,10,1.7,10,4.2,3,3,4,4.1,0.9,golden brown,smooth with longitudinal ridges,
Ficinia lucida,3126,cespitose,na,0,0,basal ,218,0.63,tan,48,1.42,present,124,0.59,terminal,Absent,12,9,25,0.27,7,5.75,2.09,20,0.5,6,2,3,3,3.83,2.8,1.3,brown to black,smooth with black spots,
Ficinia lucida,1395a, stoloniferous,dry hale top,24,3.72,basal ,195,0.64,darker tan,38,1.7,present,83,0.61,terminal,Absent,7.78,3.72,13,0.67,3,7.57,1.9,9,0.7,8,2.33,3,3,3,1.67,0.83,brown to black,smooth with black spots,
Ficinia lucida,1395b, stoloniferous,dry hale top,29,2.93,basal ,198,0.68,darker tan,44,1.34,present,68,0.48,terminal,Absent,8.64,2.94,19,0.5,4,6.1,1.45,12,1,7.5,4.67,3,3,2.67,1,0.67,brown to black,smooth with black spots,
Ficinia lucida,1395c, stoloniferous,dry hale top,16,3.09,basal ,202,0.75,darker tan,34,0.96,present,101,0.56,terminal,Absent,9.65,3.27,14,1.67,4,7.28,2.01,10,2.83,8.33,5,3,3,2.1,1.1,0.5,brown to black,smooth with black spots,
Ficinia lucida,4586, stoloniferous,na,5,4.65,basal ,167,0.64,darker tan,24,2.1,present,154,0.51,terminal,Absent,11,3.61,12.6,1.45,4,7.91,3.59,9,0.52,5.95,1.5,3,3,2.25,1.55,0.45,grey to black,smooth with black spots,
Ficinia cedarbergensis,2303a,cespitose,"Fynbos, sandy areas",0,0,basal ,320,1.07,lomy brown,70,2.5,present,216,0.71,terminal,Absent,9.92,7.18,54,0.79,10,7.07,3.62,25,0.7,3.27,0.93,3,3,1.6,1.66,0.8,grey with reddish brown patches,smooth with grey spots,
Ficinia cedarbergensis,7191,tussocky,At base of rocks,0,0,basal ,580,1.79,lomy brown,90,3.97,present,223,1.3,terminal,Absent,12.33,8.79,89,0.73,9,8.07,3.72,25,0.5,4.97,1.07,3,3,1.27,2.07,0.81,grey with reddish brown patches,smooth with grey spots,
Ficinia cedarbergensis,30746,cespitose,steep rocky slopes,0,0,basal ,276,1.02,lomy brown,81,1.6,present,280,0.55,terminal,Absent,14.33,11.35,61,0.75,12,4.5,2.13,27,0.4,2.8,1.2,3,3,1.2,1.8,0.87,brown to black,smooth with grey spots,
Ficinia cedarbergensis,Muasya 2313,cespitose,"Fynbos,",0,0,basal ,445,0.97,lomy brown,62,2.62,present,235,0.88,terminal,Absent,11.7,7.4,42,0.83,11,7.5,2.47,27,0.28,7.5,4.5,3,3,2.83,5.83,2,grey to black,a scaly surface,
Ficinia cedarbergensis,Esterhuysen 27217,cespitose,Sandy stony plateau,0,0,basal ,333,0.98,lomy brown,45,1.53,present,130,1.18,terminal,Absent,11.86,7.65,67,0.67,10,6.74,2.13,23,0.2,6.7,5.17,3,3,3.17,4.5,2.1,grey,ridges and spots,
Ficinia cedarbergensis,Esterhuysen 25537,cespitose,Rocky slopes,0,0,basal ,439,1.24,lomy brown,68,3.36,present,321,1.16,terminal,Absent,19.67,14.69,106.07,0.84,10,8.5,2.67,26,0.83,8,4.17,3,3,6.5,4.33,2,brown to black,scaly,
Ficinia cedarbergensis,Esterhuysen 17978,cespitose,Rocky slopes,0,0,basal ,312,0.95,lomy brown,62,2.05,present,193,0.77,terminal,Absent,11.71,8.27,49.51,0.75,8,5.57,2.14,30,0.6,6.1,2.25,3,3,3.5,3.3,1.8,brown to black,ridges and spots,
Ficinia cedarbergensis,Esterhuysen 16613,cespitose,plateau,0,0,basal ,251,0.97,lomy brown,26,1.43,present,123,0.68,terminal,Absent,12.16,6.89,54.2,0.61,10,6.31,2.56,25,0.45,5.4,3.45,3,3,4.1,5.1,2.4,black ,reticulate,
Ficinia cedarbergensis,Esterhuysen 18071,cespitose,,0,0,basal ,240,1.57,lomy brown,31,2.85,present,180,1.49,terminal,Absent,16.83,12.55,63.9,1.35,20,8.19,2.55,30,0.75,5.98,3.15,3,3,3.7,2.55,0.75,brown to black,scaly,
Ficinia cedarbergensis,Esterhuysen 7905,cespitose,,0,0,basal ,365,1.12,lomy brown,54,2.95,present,259,1.1,terminal,Absent,12.42,8.76,122,1.05,10,8.41,2.34,22,0.63,7.5,3.05,3,3,5.85,4.2,1.5,black at base and brown upwards,scaly,
Ficinia cedarbergensis,Esterhuysen 12150,tussocky,,0,0,basal ,277,1.23,lomy brown,41,2.13,present,129,0.7,terminal,Absent,12.59,7.02,35.24,0.92,8,6.01,2.02,20,1.8,6.94,3.75,3,3,2.6,3.92,1.95,coffee black,reticulate,
Ficinis ixiodes subsp. ixioides,Muasya 2290,tussocky,"Fynbos, burned 3-years ago, to Base camp",0,0,basal ,287,0.73,lomy brown,56,2.73,present,169,0.79,Terminal,Absent,18.1,6.36,29.85,1.67,15,12.66,0.65,45,2.33,14.17,5.67,3,3,4.17,2.5,1.83,coffee black,smooth,
Ficinis ixiodes subsp. ixioides,Muasya 2207,tussocky,"shallow soil, seeoage",0,0,basal ,271,0.81,lomy brown,41,3.28,present,194,0.88,Terminal,Absent,13.71,4.48,31.3,0.83,10,8.67,1.01,30,1.83,14.2,2.67,3,3,4.83,3.1,2.17,black,smooth with grey spots,
Ficinis ixiodes subsp. ixioides,Compton 49775,tussocky,,0,0,basal ,269,0.9,lomy brown,55,3.72,present,165,1.12,Terminal,Absent,15.58,4.81,40.58,1.1,8,9.69,0.54,28,3.83,14,4.83,3,3,3.87,2.67,1.42,coffee brown,smooth,
Ficinis ixiodes subsp. ixioides,Wolley Dod 2964,tussocky,,0,0,basal ,258,0.76,lomy brown,38,2.56,present,169,1.07,Terminal,Absent,17.23,5.76,28.9,1,10,11.01,0.45,32,2.33,14.5,3.33,3,3,5.83,2.7,2.16,coffee black ,smooth with grey spots,
Ficinis ixiodes subsp. ixioides,M.R.L 5797,tussocky,damp places on slope,0,0,basal ,260,0.72,lomy brown,59,3.24,present,158,0.77,Terminal,Absent,12.07,6.93,33.51,0.95,6,9.74,2.38,25,0.83,9,1.83,3,3,5,2.5,1.33,coffee brown,smooth,
Ficinis ixiodes subsp. ixioides,M.R.L 8113,tussocky,,0,0,basal ,363,1.2,lomy brown,49,3.08,present,234,1.25,Terminal,Absent,11.51,8.06,50.28,1.16,20,10.83,2.76,30,2.17,10.5,2.67,3,3,4.51,2.6,1.5,black,smooth,
